Country or Area,Year,Area,Month,Record Type,Reliability,Source Year,Value,Value Footnotes
Australia,1996,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2000,12552,4
Australia,1996,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2000,11216,4
Australia,1996,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2000,10427,4
Australia,1996,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2000,10056,4
Australia,1996,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2000,9997,4
Australia,1995,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2000,125225,4
Australia,1995,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2000,9481,4
Australia,1995,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2000,8700,4
Australia,1995,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2000,9631,4
Australia,1995,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2000,9984,4
Australia,1995,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2000,10502,4
Australia,1995,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2000,11085,4
Australia,1995,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2000,12217,4
Australia,1995,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2000,11897,4
Australia,1995,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2000,10916,4
Australia,1995,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2000,10604,4
Australia,1995,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2000,10083,4
Australia,1995,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2000,10125,4
Australia,1994,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1996,126996,4
Australia,1994,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1996,10001,4
Australia,1994,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1996,8610,4
Australia,1994,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1996,9913,4
Australia,1994,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1996,9769,4
Australia,1994,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1996,10832,4
Australia,1994,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1996,10972,4
Australia,1994,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1996,12567,4
Australia,1994,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1996,13057,4
Australia,1994,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1996,11069,4
Australia,1994,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1996,10659,4
Australia,1994,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1996,9827,4
Australia,1994,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1996,9720,4
Australia,1993,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1996,120813,4
Australia,1993,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1996,9294,4
Australia,1993,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1996,8456,4
Australia,1993,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1996,9360,4
Australia,1993,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1996,9218,4
Australia,1993,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1996,10180,4
Australia,1993,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1996,10899,4
Australia,1993,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1996,11197,4
Australia,1993,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1996,11552,4
Australia,1993,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1996,10741,4
Australia,1993,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1996,10338,4
Australia,1993,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1996,9712,4
Australia,1993,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1996,9866,4
Australia,1992,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1996,122946,4
Australia,1992,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1996,9397,4
Australia,1992,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1996,8527,4
Australia,1992,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1996,9386,4
Australia,1992,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1996,9473,4
Australia,1992,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1996,10549,4
Australia,1992,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1996,11676,4
Australia,1992,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1996,12089,4
Australia,1992,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1996,11432,4
Australia,1992,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1996,10833,4
Australia,1992,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1996,10188,4
Australia,1992,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1996,9604,4
Australia,1992,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1996,9792,4
Australia,1991,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1996,118556,4
Australia,1991,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1996,9539,4
Australia,1991,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1996,8179,4
Australia,1991,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1996,9504,4
Australia,1991,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1996,9259,4
Australia,1991,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1996,10307,4
Australia,1991,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1996,9938,4
Australia,1991,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1996,11055,4
Australia,1991,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1996,11306,4
Australia,1991,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1996,10683,4
Australia,1991,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1996,9932,4
Australia,1991,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1996,9322,4
Australia,1991,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1996,9532,4
Australia,1990,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1995,118939,4
Australia,1990,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1995,9148,4
Australia,1990,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1995,8328,4
Australia,1990,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1995,9160,4
Australia,1990,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1995,9115,4
Australia,1990,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1995,10242,4
Australia,1990,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1995,10452,4
Australia,1990,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1995,11413,4
Australia,1990,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1995,11122,4
Australia,1990,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1995,10653,4
Australia,1990,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1995,10248,4
Australia,1990,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1995,9360,4
Australia,1990,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1995,9698,4
Australia,1989,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1993,125252,4
Australia,1989,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1993,9401,4
Australia,1989,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1993,8270,4
Australia,1989,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1993,9253,4
Australia,1989,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1993,9422,4
Australia,1989,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1993,10134,4
Australia,1989,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1993,11375,4
Australia,1989,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1993,12434,4
Australia,1989,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1993,13137,4
Australia,1989,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1993,12302,4
Australia,1989,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1993,10699,4
Australia,1989,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1993,9319,4
Australia,1989,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1993,9506,4
Australia,1988,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1993,118973,4
Australia,1988,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1993,9222,4
Australia,1988,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1993,8516,4
Australia,1988,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1993,9311,4
Australia,1988,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1993,9233,4
Australia,1988,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1993,10222,4
Australia,1988,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1993,10841,4
Australia,1988,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1993,11545,4
Australia,1988,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1993,11304,4
Australia,1988,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1993,10198,4
Australia,1988,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1993,9883,4
Australia,1988,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1993,9257,4
Australia,1988,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1993,9441,4
Australia,1987,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1992,118143,4
Australia,1987,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1992,9294,4
Australia,1987,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1992,8205,4
Australia,1987,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1992,9341,4
Australia,1987,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1992,9147,4
Australia,1987,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1992,9899,4
Australia,1987,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1992,10151,4
Australia,1987,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1992,11237,4
Australia,1987,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1992,11108,4
Australia,1987,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1992,10733,4
Australia,1987,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1992,10168,4
Australia,1987,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1992,9365,4
Australia,1987,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1992,9495,4
Australia,1986,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1991,114336,4
Australia,1986,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1991,8717,4
Australia,1986,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1991,7806,4
Australia,1986,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1991,8945,4
Australia,1986,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1991,8779,4
Australia,1986,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1991,9509,4
Australia,1986,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1991,10406,4
Australia,1986,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1991,11121,4
Australia,1986,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1991,10742,4
Australia,1986,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1991,9842,4
Australia,1986,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1991,9823,4
Australia,1986,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1991,9104,4
Australia,1986,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1991,9542,4
Australia,1985,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1990,117811,4
Australia,1985,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1990,8821,4
Australia,1985,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1990,7557,4
Australia,1985,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1990,8618,4
Australia,1985,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1990,9018,4
Australia,1985,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1990,10114,4
Australia,1985,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1990,10946,4
Australia,1985,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1990,12515,4
Australia,1985,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1990,11579,4
Australia,1985,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1990,10474,4
Australia,1985,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1990,9722,4
Australia,1985,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1990,9065,4
Australia,1985,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1990,9382,4
Australia,1984,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1988,113291,
Australia,1984,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1988,8528,
Australia,1984,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1988,8021,
Australia,1984,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1988,8739,
Australia,1984,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1988,8590,
Australia,1984,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1988,9466,
Australia,1984,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1988,9783,
Australia,1984,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1988,10786,
Australia,1984,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1988,10641,
Australia,1984,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1988,10491,
Australia,1984,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1988,10021,
Australia,1984,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1988,9064,
Australia,1984,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1988,9161,
Australia,1983,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1988,110145,
Australia,1983,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1988,8647,
Australia,1983,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1988,7483,
Australia,1983,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1988,8493,
Australia,1983,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1988,8654,
Australia,1983,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1988,9120,
Australia,1983,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1988,9933,
Australia,1983,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1988,10794,
Australia,1983,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1988,10657,
Australia,1983,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1988,9578,
Australia,1983,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1988,9036,
Australia,1983,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1988,8825,
Australia,1983,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1988,8925,
Australia,1982,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1987,114065,
Australia,1982,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1987,8812,
Australia,1982,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1987,7579,
Australia,1982,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1987,8570,
Australia,1982,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1987,8611,
Australia,1982,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1987,9855,
Australia,1982,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1987,10030,
Australia,1982,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1987,11763,
Australia,1982,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1987,11829,
Australia,1982,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1987,10214,
Australia,1982,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1987,9623,
Australia,1982,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1987,8609,
Australia,1982,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1987,8570,
Australia,1981,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1986,109520,
Australia,1981,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1986,8387,
Australia,1981,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1986,7639,
Australia,1981,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1986,8376,
Australia,1981,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1986,8409,
Australia,1981,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1986,9485,
Australia,1981,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1986,10128,
Australia,1981,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1986,10618,
Australia,1981,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1986,10313,
Australia,1981,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1986,9552,
Australia,1981,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1986,9112,
Australia,1981,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1986,8546,
Australia,1981,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1986,8955,
Australia,1980,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1985,108254,
Australia,1980,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1985,8269,
Australia,1980,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1985,7664,
Australia,1980,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1985,8261,
Australia,1980,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1985,8371,
Australia,1980,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1985,9126,
Australia,1980,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1985,9403,
Australia,1980,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1985,10414,
Australia,1980,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1985,10677,
Australia,1980,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1985,9806,
Australia,1980,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1985,9032,
Australia,1980,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1985,8601,
Australia,1980,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1985,8630,
Austria,2017,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,83270,5
Austria,2017,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2019,9728,5
Austria,2017,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2019,7460,5
Austria,2017,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2019,7110,5
Austria,2017,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2019,6513,5
Austria,2017,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2019,6584,5
Austria,2017,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2019,6163,5
Austria,2017,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2019,6345,5
Austria,2017,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2019,6531,5
Austria,2017,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2019,6138,5
Austria,2017,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2019,6764,5
Austria,2017,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2019,6681,5
Austria,2017,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2019,7253,5
Austria,2016,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,80669,5
Austria,2016,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2017,7189,5
Austria,2016,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2017,6816,5
Austria,2016,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2017,7059,5
Austria,2016,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2017,6541,5
Austria,2016,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2017,6636,5
Austria,2016,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2017,6066,5
Austria,2016,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2017,6258,5
Austria,2016,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2017,6298,5
Austria,2016,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2017,6132,5
Austria,2016,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2017,6929,5
Austria,2016,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2017,6718,5
Austria,2016,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2017,8027,5
Austria,2015,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,83073,5
Austria,2015,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2016,8068,5
Austria,2015,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2016,7953,5
Austria,2015,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2016,7879,5
Austria,2015,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2016,6827,5
Austria,2015,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2016,6333,5
Austria,2015,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2016,6088,5
Austria,2015,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2016,6884,5
Austria,2015,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2016,6805,5
Austria,2015,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2016,6228,5
Austria,2015,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2016,6624,5
Austria,2015,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2016,6474,5
Austria,2015,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2016,6910,5
Austria,2014,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2016,78252,5
Austria,2014,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2016,6798,5
Austria,2014,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2016,6546,5
Austria,2014,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2016,7000,5
Austria,2014,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2016,6543,5
Austria,2014,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2016,6586,5
Austria,2014,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2016,6190,5
Austria,2014,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2016,6227,5
Austria,2014,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2016,6112,5
Austria,2014,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2016,6121,5
Austria,2014,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2016,6521,5
Austria,2014,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2016,6502,5
Austria,2014,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2016,7106,5
Austria,2013,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2015,79526,5
Austria,2013,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2015,7254,5
Austria,2013,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2015,7019,5
Austria,2013,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2015,7454,5
Austria,2013,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2015,6739,5
Austria,2013,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2015,6329,5
Austria,2013,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2015,6312,5
Austria,2013,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2015,6447,5
Austria,2013,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2015,6425,5
Austria,2013,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2015,6050,5
Austria,2013,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2015,6476,5
Austria,2013,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2015,6269,5
Austria,2013,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2015,6752,5
Austria,2012,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2013,79436,5
Austria,2012,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2013,6988,5
Austria,2012,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2013,7317,5
Austria,2012,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2013,7656,5
Austria,2012,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2013,6469,5
Austria,2012,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2013,6440,5
Austria,2012,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2013,6158,5
Austria,2012,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2013,6326,5
Austria,2012,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2013,6064,5
Austria,2012,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2013,6054,5
Austria,2012,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2013,6536,5
Austria,2012,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2013,6435,5
Austria,2012,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2013,6993,5
Austria,2011,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2012,76479,5
Austria,2011,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2012,6966,5
Austria,2011,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2012,6345,5
Austria,2011,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2012,6938,5
Austria,2011,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2012,6203,5
Austria,2011,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2012,6360,5
Austria,2011,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2012,5837,5
Austria,2011,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2012,6102,5
Austria,2011,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2012,6180,5
Austria,2011,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2012,5836,5
Austria,2011,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2012,6376,5
Austria,2011,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2012,6399,5
Austria,2011,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2012,6937,5
Austria,2010,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2011,77199,5
Austria,2010,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2011,6937,5
Austria,2010,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2011,6340,5
Austria,2010,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2011,6910,5
Austria,2010,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2011,6163,5
Austria,2010,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2011,6305,5
Austria,2010,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2011,6115,5
Austria,2010,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2011,6528,5
Austria,2010,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2011,6122,5
Austria,2010,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2011,6039,5
Austria,2010,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2011,6427,5
Austria,2010,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2011,6199,5
Austria,2010,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2011,7114,5
Austria,2010,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2011,0,5
Austria,2009,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2010,77381,5
Austria,2009,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2010,8364,5
Austria,2009,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2010,7131,5
Austria,2009,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2010,6701,5
Austria,2009,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2010,6248,5
Austria,2009,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2010,6162,5
Austria,2009,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2010,5696,5
